ModuleCode,Year,Link
CA580R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZSHlzSk14ajhmZEk/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE305,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZWXVhOFBYZmdkNG8/view?usp=sharing'target=""_blank"">Click here to open</a>"
MS136R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZTEdNLXFQTXJYN0E/view?usp=sharing'target=""_blank"">Click here to open</a>"
SP120,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZeGthUW11OXdsZUU/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE292R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZeGhyeEQwMms0VjQ/view?usp=sharing'target=""_blank"">Click here to open</a>"
MS126R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZOUdvVHdCeEtWRTA/view?usp=sharing'target=""_blank"">Click here to open</a>"
AC203,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZakxnMFFSYXU3TTA/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE204R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZYjNKaFB5ZkVsRm8/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE202R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZRkF5OXRmRnBoTE0/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE306R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZVEhrVVdDOU5qUGs/view?usp=sharing'target=""_blank"">Click here to open</a>"
EF518R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZT1o4aGRYTTE1dDQ/view?usp=sharing'target=""_blank"">Click here to open</a>"
EF101,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZUzVUSXFRdTlHb2s/view?usp=sharing'target=""_blank"">Click here to open</a>"
JA230,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZcVprMzZlYTN3V00/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE108R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZcnVvOGhLSDNfZms/view?usp=sharing'target=""_blank"">Click here to open</a>"
BE202R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZTVZUVzc5N3pVTVE/view?usp=sharing'target=""_blank"">Click here to open</a>"
BE223R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZMHlKSU9zb3FIcWs/view?usp=sharing'target=""_blank"">Click here to open</a>"
GE111R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZTWlPQ2FDTWttUmM/view?usp=sharing'target=""_blank"">Click here to open</a>"
DBS1,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9Zb2UxdGNxTGdKT0k/view?usp=sharing'target=""_blank"">Click here to open</a>"
CA563R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZSUV5YTQyT1lVdGM/view?usp=sharing'target=""_blank"">Click here to open</a>"
HR308,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZYWRWMnZQUlJYQ1E/view?usp=sharing'target=""_blank"">Click here to open</a>"
BE102R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9Zb1ozdGdYVG9NcEk/view?usp=sharing'target=""_blank"">Click here to open</a>"
CS407,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZbEJOZ3ZIanRjakE/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE301R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZU2NQM3RqbzZQdkU/view?usp=sharing'target=""_blank"">Click here to open</a>"
PS205R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZZ1F1aHlpelRsVTA/view?usp=sharing'target=""_blank"">Click here to open</a>"
LC102R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZQl8yaGp2NmxFbjQ/view?usp=sharing'target=""_blank"">Click here to open</a>"
FR111,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZMy16ekFKbWtyNWc/view?usp=sharing'target=""_blank"">Click here to open</a>"
EF305R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZV0ZkSjlncm1sNWs/view?usp=sharing'target=""_blank"">Click here to open</a>"
CS101,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZTmR1YlVxbThONlU/view?usp=sharing'target=""_blank"">Click here to open</a>"
CS405,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZREZ3amlIR1FvRVU/view?usp=sharing'target=""_blank"">Click here to open</a>"
50173,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZYXk4VW8xLTJsYnc/view?usp=sharing'target=""_blank"">Click here to open</a>"
EF307,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZZEFYUDYzV3FkSTA/view?usp=sharing'target=""_blank"">Click here to open</a>"
CA131R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZclZLZVUxQndBdmM/view?usp=sharing'target=""_blank"">Click here to open</a>"
GE290,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZODFVQzBacVRFdFU/view?usp=sharing'target=""_blank"">Click here to open</a>"
CM110R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9Za2p0THl0N2hmV1U/view?usp=sharing'target=""_blank"">Click here to open</a>"
40308R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZUV9HSmhRclZ5ZG8/view?usp=sharing'target=""_blank"">Click here to open</a>"
BE221R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZeXNvZmc0OWpKMUU/view?usp=sharing'target=""_blank"">Click here to open</a>"
CA530R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZR3RSU3RLWXV0c28/view?usp=sharing'target=""_blank"">Click here to open</a>"
BE101,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZdzM5Z2lpT1NDSGM/view?usp=sharing'target=""_blank"">Click here to open</a>"
LC106R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZVVQtVFlzNHFtYmc/view?usp=sharing'target=""_blank"">Click here to open</a>"
50294,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZUVI1ZTd4N0l4N0U/view?usp=sharing'target=""_blank"">Click here to open</a>"
AC102R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZWm9qY3Vza0NVLTg/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE302,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZZFpuX3pLX3h5LVU/view?usp=sharing'target=""_blank"">Click here to open</a>"
AC512R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZSWxwN3NkY3NvVHc/view?usp=sharing'target=""_blank"">Click here to open</a>"
HR521R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZVFd0bWgyTW4xd1U/view?usp=sharing'target=""_blank"">Click here to open</a>"
51108R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZbWRwXzFObm5saG8/view?usp=sharing'target=""_blank"">Click here to open</a>"
CA560R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZbUtneEhQbW5Odkk/view?usp=sharing'target=""_blank"">Click here to open</a>"
CS101R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZRlZUeVAyRk13WlU/view?usp=sharing'target=""_blank"">Click here to open</a>"
AC520,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZX3lHSXgxVzU0S28/view?usp=sharing'target=""_blank"">Click here to open</a>"
CA238R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZNmEtdXVGaEtTSWs/view?usp=sharing'target=""_blank"">Click here to open</a>"
MS224,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZQTdOVkdhVWZuWk0/view?usp=sharing'target=""_blank"">Click here to open</a>"
41111R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZQnN4c0k2MzVvU28/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE209R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZMVZsMkxTallYTEk/view?usp=sharing'target=""_blank"">Click here to open</a>"
JA110,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZVFFRVGRsQWppVXM/view?usp=sharing'target=""_blank"">Click here to open</a>"
CS406,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZWmRSNEl2cTBUeGs/view?usp=sharing'target=""_blank"">Click here to open</a>"
EF101R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZZU9JWGxxcFByQXM/view?usp=sharing'target=""_blank"">Click here to open</a>"
CA205R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZRnZUSXlQakxKNm8/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE101R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZVEprLVJoX0xMY3c/view?usp=sharing'target=""_blank"">Click here to open</a>"
BE302,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZZGhjZlJWVEtzZGc/view?usp=sharing'target=""_blank"">Click here to open</a>"
HR501R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZaHhsZ05XU3dBaUU/view?usp=sharing'target=""_blank"">Click here to open</a>"
EF103,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZZzBtYVJOSjc3QW8/view?usp=sharing'target=""_blank"">Click here to open</a>"
AC201R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZQzctZUNkZUdyWTA/view?usp=sharing'target=""_blank"">Click here to open</a>"
60013R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZZFcyLVVfbDlfSHM/view?usp=sharing'target=""_blank"">Click here to open</a>"
EM101,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZRWpSYkVRZ3dPM0k/view?usp=sharing'target=""_blank"">Click here to open</a>"
FR111R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZWTJWSDlveXByNm8/view?usp=sharing'target=""_blank"">Click here to open</a>"
MT503R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZekVVdlRHcDNZNDg/view?usp=sharing'target=""_blank"">Click here to open</a>"
MS137R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZX2tNOVdNdkZEZ1E/view?usp=sharing'target=""_blank"">Click here to open</a>"
CA146R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZeUpQeGx6YzFvLXM/view?usp=sharing'target=""_blank"">Click here to open</a>"
AC511R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZWEl4bEQzNHQxMXc/view?usp=sharing'target=""_blank"">Click here to open</a>"
GE140R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZVjV2ODdCZjEtWDQ/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE103,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZaDEtTEJXYW40UFU/view?usp=sharing'target=""_blank"">Click here to open</a>"
AC505P2,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZbFlVMFpsbzlEelE/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE204,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZZmVUUmpKa3RncFU/view?usp=sharing'target=""_blank"">Click here to open</a>"
BE222R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZaTdWRE1jRWtnRVk/view?usp=sharing'target=""_blank"">Click here to open</a>"
SP140,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZTVc1ckZ3Xy1nYmM/view?usp=sharing'target=""_blank"">Click here to open</a>"
HR506R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZMDNKa2FhWTBpTmc/view?usp=sharing'target=""_blank"">Click here to open</a>"
PS101R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZZmpod29fdm9GMzQ/view?usp=sharing'target=""_blank"">Click here to open</a>"
MG503R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZUU9ySG4yRU5UUTQ/view?usp=sharing'target=""_blank"">Click here to open</a>"
HR101,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZNThQZ3RSa0ZrU0U/view?usp=sharing'target=""_blank"">Click here to open</a>"
BE303,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZSDEtdlJDcXgtV2M/view?usp=sharing'target=""_blank"">Click here to open</a>"
60081R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZaFdZUUlGaHJqMnM/view?usp=sharing'target=""_blank"">Click here to open</a>"
41109R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZQUhCWkhwQlJmZkE/view?usp=sharing'target=""_blank"">Click here to open</a>"
GE265,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZZ1EzQ3pjZlVhekU/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE107R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZdXBCd3RIcUItOVk/view?usp=sharing'target=""_blank"">Click here to open</a>"
JA118R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZajZYREJuam1LcW8/view?usp=sharing'target=""_blank"">Click here to open</a>"
MM231R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZLTNtUXIxWUJINGM/view?usp=sharing'target=""_blank"">Click here to open</a>"
HR103R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZeURYUUkxUmlPWkE/view?usp=sharing'target=""_blank"">Click here to open</a>"
BE421,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZMy02VWNNeVdyNmM/view?usp=sharing'target=""_blank"">Click here to open</a>"
CA247,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZcU9xZFZTdVI4Z1E/view?usp=sharing'target=""_blank"">Click here to open</a>"
40364R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZQm5OZ1k1WTJpY28/view?usp=sharing'target=""_blank"">Click here to open</a>"
MS307,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZNnh4Y2R2b3IzYk0/view?usp=sharing'target=""_blank"">Click here to open</a>"
32154,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZZFFpMUVCMmlPbU0/view?usp=sharing'target=""_blank"">Click here to open</a>"
GE190R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZT1d3aFU3TFFzOVE/view?usp=sharing'target=""_blank"">Click here to open</a>"
MS120R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZTUUtNUJWd0FraUU/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE311R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZeWk1bFozNUt4TnM/view?usp=sharing'target=""_blank"">Click here to open</a>"
AC505R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZNU9iSE44Q09VZ2s/view?usp=sharing'target=""_blank"">Click here to open</a>"
50325,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZaV9ZYjBOMGdFZVU/view?usp=sharing'target=""_blank"">Click here to open</a>"
JA190,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZMWJUSXhqUS1HN2c/view?usp=sharing'target=""_blank"">Click here to open</a>"
MG105,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZczZ3eDRtSlBIRG8/view?usp=sharing'target=""_blank"">Click here to open</a>"
CA242,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZaXVwdnk5S09Bck0/view?usp=sharing'target=""_blank"">Click here to open</a>"
50295,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9Zd0FYc1N1eExmOE0/view?usp=sharing'target=""_blank"">Click here to open</a>"
EF509R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZQ195VEpMMzl6cVE/view?usp=sharing'target=""_blank"">Click here to open</a>"
NS406R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZT2pTeHZmM18zaUk/view?usp=sharing'target=""_blank"">Click here to open</a>"
JA111R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZXzh5Qy1OcG1idWM/view?usp=sharing'target=""_blank"">Click here to open</a>"
LG501R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZSmoyZTdGNm03RjA/view?usp=sharing'target=""_blank"">Click here to open</a>"
40031R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZU2tOMXJibC1tTHM/view?usp=sharing'target=""_blank"">Click here to open</a>"
AC513R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZOWlKenV3Szd6ZDA/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE308R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZS3Uxa0VIVjRvWWs/view?usp=sharing'target=""_blank"">Click here to open</a>"
40334R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZbHhVM3VLaVlPdHc/view?usp=sharing'target=""_blank"">Click here to open</a>"
NS407,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZYk5LOUdPU1F3Q28/view?usp=sharing'target=""_blank"">Click here to open</a>"
EE205R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZeHJZTExmQlJ3cFU/view?usp=sharing'target=""_blank"">Click here to open</a>"
BE301,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZMWdwbndMNHd4OUk/view?usp=sharing'target=""_blank"">Click here to open</a>"
EF512R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZSXdKY0NCX2x6SDg/view?usp=sharing'target=""_blank"">Click here to open</a>"
NS409,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZM2tKdEM3SFNpeEE/view?usp=sharing'target=""_blank"">Click here to open</a>"
BE404,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZU21uM012M09wVjg/view?usp=sharing'target=""_blank"">Click here to open</a>"
NS302R,1998,"<a href='https://drive.google.com/file/d/0B4T0-Ia20_9ZZXJOUjIwUFFXQWM/view?usp=sharing'target=""_blank"">Click here to open</a>"
